service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,user_id
4,0,85,295.96,296.2,296,296.8,3813.614698,0,1,36,0,4,2,300.04,4096,1392.038508,108.1,0,564.3666667,1,31,0,0,0,99999825,Gx4sJzcQog01UhZL
1,0,10,265.2,261.2,208.5,174.5,0,1,0,0,0,4,3,300,0,62852.50972,240.1,355.1666667,0,1,30,0,0,0,90063345,kEXrhTiug93DIcLG
1,0,12,44.5,70.2,69,61.4,2598.397406,0,0,0,0,4,4,50,0,1935.242104,27.66666667,0,98.41666667,2,25,0,0,0,90109916,AouXr0EOUtSRdiYK
4,0,134,87.95,81.4,76,88.3,988.4405632,0,0,0,0,4,1,100,37.33642483,988.561075,89.9,74.48333333,121.8333333,1,44,0,0,0,89950166,Yds7U30hnRZDiLtb
4,0,84,317.04,314.08,435.51,413.05,5885.800642,0,1,24,0,4,12,1000.03,3305.741127,0,0,35.1,496.7333333,1,31,2,1,0,99999825,OFDTSXrhN9Q2mbVw
4,0,46,36,36,36,37.2,218.0034523,0,3,12,0,4,1,30,459.2940483,218.003452,14.63333333,0,14.63333333,1,42,0,0,0,89950168,4qHSn3dkPzJTAjoG
1,0,12,33.6,32.7,38.7,45.7,0,0,0,0,0,4,1,50,0,0,6.116666667,136.0333333,0,1,27,0,0,0,90063345,tXkjbzpTsZcxYPKG
4,0,109,116,116,116,116,635.9462757,0,9,12,0,4,2,200,1024,635.9784,250.8833333,0,310.7333333,1,40,0,0,0,89950167,ro43b68MustgPyOR
4,0,30,73.95,91.42,66,65.95,230.273015,0,0,0,0,4,2,200,500,22.655023,15.28333333,41.9,82.91666667,1,43,1,2,0,89950168,18e2VC0IJ7SkcKzF
1,0,7,89,91,90.6,126.1,0,1,0,0,0,4,2,120,0,7830.505474,33.73333333,0,101.8333333,1,22,0,0,0,90155946,YCEo95zSZ08IJ3PW
4,0,47,42,42,42,42,0,0,2,12,0,2,1,42,800,0,1.916666667,0,9.2,0,0,0,0,0,89950166,M9aTwUjbqQSYK8hN
4,0,51,76.1,156,116,107.3,3048.047233,0,9,12,0,4,2,101,0,2877.650042,128.8,0,144.8166667,1,43,0,0,0,89950166,cfGAgMWTJLt09VDs
4,0,59,123.3,175.2,110.95,178,683.8885632,0,3,12,0,4,3,200,0,699.484269,169.3166667,162.9166667,465.6833333,2,29,0,0,0,99999828,km0xTQGpIYZuXWyL
1,0,7,60.3,145.3,78.2,94.7,0,1,0,0,0,4,1,50,0,46671.924,0,1.916666667,0,1,27,0,0,0,90063345,d9L37fAwopQkWPYh
4,0,122,208.9,225.7,157,241.65,1490.740294,0,9,12,0,4,1,100,865.3767033,892.298403,461.5666667,281.75,724.9,1,56,0,0,0,99999828,UXewZPdJbBiycY8Q
4,0,43,256,327.7,316.5,256.1,3882.650403,1,0,0,0,4,10,1477.6,0,3337.917841,70.98333333,0,98.61666667,2,27,2,1,6000,99999828,Z5igARInaGBkjYdm
1,0,5,7.91,13.7,11.05,15.1,0,1,0,0,0,2,1,50,0,0,0,0,0,1,44,0,0,0,90063345,gH7nkfV2a0cKPQT6
1,0,4,19.6,21.4,12.42,0,0,0,0,0,0,2,1,30,0,3.842385,0.9,0.9,0,1,17,0,0,0,90063345,wnYh1QfSNBcGMTJ5
4,1,65,84.35,98.05,76,76,1824.925221,0,9,12,0,4,1,100,800,1545.382987,58.6,47.11666667,171.7166667,2,30,0,0,0,89950166,zPhEjLIWi3dKV6GU
1,0,18,48.9,54.5,51.9,66.1,0,1,0,0,0,4,2,40,0,0,0,3.333333333,1.566666667,1,24,0,0,0,90063345,JzrYtgsjF45bBun1
4,0,60,225.95,339.25,296.45,354.35,500,0,1,24,0,4,4,300.05,0,1430.710204,86.8,0,201.6166667,1,36,0,0,0,99999826,rL402wVDpGPBfC8q
1,0,12,107.74,128.96,165.66,360.68,0,1,0,0,0,4,1,100,0,8121.108418,4.783333333,21.26666667,0,1,27,0,0,0,90063345,CognwxZ2aJfv03c4
1,0,18,89.7,96.4,78.8,69.7,0,1,0,0,0,4,1,100,0,17173.21254,48.08333333,388.5333333,18.53333333,1,26,0,0,0,90063345,QnU8PiaY63eAVlDr
4,0,72,126.1,126.5,126.5,126.85,2785.341695,0,3,12,0,4,2,80.5,1975.834002,0,0,0,255.5333333,1,49,0,0,0,99999827,xPRY6725k90KdyjW
4,0,30,71,71,79.64,95.86,14946.72815,0,9,12,0,4,1,50,400.0599432,14946.7349,7.866666667,0,11.1,1,30,0,0,0,89950168,qLyPkjf86sZdEtNg
4,0,74,139.93,163.48,154.8,177.61,5078.91897,0,9,12,1,4,1,0.07,1024,4511.737503,337.85,0,398.2333333,1,31,0,0,0,99999828,IViSctryC8lTBvDj
4,1,51,75.95,79.55,96.03,76,591.0618725,0,9,12,0,4,3,100.05,800,479.671385,140.5166667,0,165.1,2,35,0,0,0,89950166,NAQc9BvmlKFjTgoC
4,0,18,146,146.1,146.2,146,6.233837128,0,0,0,0,4,1,146.1,3072,0,0,0,39.96666667,0,0,0,0,0,99999826,0QR3gvwTmBnHhlVZ
1,0,13,34.3,30.2,33.3,45.3,0,1,0,0,0,4,1,50,0,0,0,0,0,1,26,0,0,0,90063345,D8Y21qN945kBieLd
1,0,14,105.9,176.7,91.4,162.5,0,1,0,0,0,4,2,150,0,27714.97274,188.8,430.6666667,0,1,27,0,0,0,90063345,jzCO0UbDyAhJgeGN
1,0,4,62.6,25.26,26.1,9.15,0,1,0,0,0,4,4,60,0,26432.09392,0,0,0.8,1,17,0,0,0,90063345,8qwBzScDaQdP61bL
1,0,17,37.2,43.9,21,39,0,1,0,0,0,4,1,30,0,2937.601533,0,0,0,1,25,0,0,0,90063345,NftPFxHg3kdcAm6n
4,0,33,83,256,308.3,136.08,3467.311842,0,9,12,0,4,1,100,0,3467.311842,38.13333333,72.06666667,166.5666667,1,28,0,0,0,89950166,Upeo1Kubwr4qIfJd
4,0,15,106,106.3,106.1,106.3,0.189691544,0,1,24,0,4,2,130,1024,0.189692,41.46666667,0,43.73333333,1,28,1,2,0,89950167,zYgRD9dbxpV3LeuP
1,0,14,77,81.2,95.6,93.3,0,1,0,0,0,4,7,90,0,5933.57032,0,0,0,1,17,0,0,0,90155946,aoDhrCek3zlqYU2E
4,0,34,206.66,333.02,241,316.3,2563.414215,1,1,24,0,4,2,200.02,0,2563.526344,68.35,0,68.66666667,1,33,0,0,0,99999826,pdQCvySzG8FYNsKj
1,0,12,53.4,43.3,38.3,55.8,0,1,0,0,0,4,1,50,0,6987.33616,67.9,78.03333333,0,2,46,0,0,0,90063345,YkuoePJW8wl9BCtO
1,0,5,21.06,1.32,13.75,25.95,0.602062225,1,0,0,0,4,2,40,0,0,0,0,0,1,21,0,0,0,90063345,nHUfABi6I8GuCjzd
1,0,14,53,97.5,79.8,86.1,0,1,0,0,0,4,1,50,0,0,0,59.46666667,72.05,1,22,0,0,0,90063345,YBgsmXA37TQH9jaV
1,0,14,34.1,35.6,40.8,46.2,0,1,0,0,0,4,2,105,0,4199.550233,0,0,0,1,40,0,0,0,90063345,L1zRBc6aNK7E9Qp2
1,0,10,100.6,109.6,101,121.5,0,1,0,0,0,4,3,90,0,24988.11511,164.9,0,217.6,1,21,0,0,0,90155946,wFvsp1roYmDGPWXL
4,0,27,84.7,94.15,121.6,95.5,725.4231606,0,0,0,1,4,1,200,800,211.080788,46.75,46.96666667,168.1833333,1,21,0,0,0,89950166,zVgyluCdD71Wph0i
1,0,12,50.2,46.2,77.5,54.9,500,1,0,0,0,4,1,50,0,22116.17394,1.233333333,1.4,0,1,19,0,0,0,90063345,tXUNAhLZF7e3DJp0
4,0,15,136.06,171.34,115.91,136.2,1919.32721,1,9,12,0,4,4,70.04,0,178.695591,28.95,119,160.9333333,1,21,1,3,10756,89950166,ZzA5gvqL4ydP3Qfl
4,0,86,113.83,106.2,106,106,2133.16964,0,1,24,0,4,1,100,812.18577,2078.063466,163.4833333,0,228.65,1,49,0,0,0,89950167,Af2UrciPJZjNCvyR
4,0,10,106,106,106,123.55,0,0,3,12,0,2,4,210,1024,0,115.2333333,0,159.9,1,39,0,0,0,89950167,caq9gEIFDzVAHSUQ
1,0,4,44.3,42.9,37.1,16.39,0,1,0,0,0,4,2,40,0,6011.569892,0,0,0,1,18,0,0,0,90063345,S7tm3kX9wuOMNjp2
1,0,10,30.5,34.5,38,50.6,0,1,0,0,0,4,3,60,0,0,0,12.83333333,0,1,21,0,0,0,90063345,HAd16Xj9VhJMevlZ
4,0,113,85.38,78.24,92.18,78.65,544.1049433,0,1,24,0,3,4,180.05,0,195.75109,17.53333333,0,120.1666667,1,43,0,0,0,89950166,tWo4QDXZYA97C0Bs
4,0,54,171.5,144.55,280.55,228.2,2011.021006,1,1,36,1,4,3,200,0,26850.65292,41.05,0,166.5166667,2,29,0,0,0,99999830,0srJCfKHdpG7XF4D
1,0,4,41.8,36,5,0,1444.577683,0,0,0,0,4,1,30,2048,871.337203,1.45,24.91666667,74.16666667,1,31,0,0,0,90109916,zEXyr74tqCBQjZlb
1,0,15,0,39.6,45,36,2816.023306,0,0,0,0,4,1,79,0,3593.044975,16.26666667,0,16.26666667,1,32,1,1,0,90109916,iTcHMbl7nWqLFvS6
1,0,7,44.4,45.8,44.5,48.7,0,1,0,0,0,4,1,50,0,1791.728438,0,0,0,2,31,0,0,0,90063345,FoUr7mMx2ZOiQknj
4,0,90,106,106,106,105.93,1700.74407,0,0,0,0,4,1,106,796.9481106,1700.738958,83.93333333,0,100.5833333,1,56,0,0,0,89950167,b5Wz74QGD0mkldaO
4,0,61,76,76,76,76.06,0,0,9,12,0,4,1,50,532.8549891,0,83.15,0,88.01666667,1,26,0,0,0,89950166,jpUnxYVSKw7dC6tg
4,0,91,214.06,187.87,165.98,317.71,2237.530606,0,1,24,0,4,4,201.87,91.90540028,1199.117855,150.7166667,261.6666667,422.7166667,1,44,0,0,0,99999827,bkeG8uTcpitCVOD1
4,0,46,76,76,166,86,869.3063574,0,9,12,0,4,4,350,0,869.307396,9.55,0,20.43333333,1,27,0,0,0,89950166,5JCod2aRrVKhDnIA
1,0,10,38.6,29.8,30.2,50.4,0,1,0,0,0,4,3,50,0,10831.31736,2.683333333,0,17.78333333,1,29,0,0,0,90063345,yNPH6WRbMEzk8Q1K
4,0,57,201,201,201,201,2529.868616,0,0,0,0,3,3,250,3072,2455.083696,56.75,0,178.7666667,1,39,0,0,0,99999826,lJyTzWK6jxYtv07S
4,0,134,78.94,79.1,80.6,59,1093.482187,0,9,12,0,4,1,0.06,0,1096.837207,26.43333333,0,52.8,2,70,1,1,5000,89950166,yCv1LSY76VajpAuG
4,0,25,76,76,76,76,0.205301285,0,9,12,0,2,2,80,800,0,0,0,95.26666667,1,46,0,0,0,89950166,BQsXjfWJbHknM7zZ
4,0,134,46,46,46,46.3,378.7615013,0,12,36,0,3,1,26,400,30.474235,26.66666667,0,92.25,1,59,1,1,1000,99999830,Om1YHiM9Z6qWgasL
1,0,8,52,53.7,56.8,56.8,0,1,0,0,0,4,1,30,0,15555.83819,21.91666667,0,24.75,1,25,0,0,0,90063345,jga4RPif65SqTmXu
4,0,22,76,0,0,71,0,0,0,0,0,2,1,50,0,0,0,0,0,2,22,0,0,0,89950166,52f9FiyRulqSYscE
4,0,55,117.8,117.8,118,117.9,2108.854962,0,0,0,0,4,3,300,3072,1640.068186,2.766666667,0,110.8,1,31,0,0,0,89950167,ua7NtpAmJGiLo8zf
4,0,71,281.5,787.96,363.48,316,3143.052631,1,0,0,0,4,2,300.06,0,0,0,2.816666667,177.45,2,31,0,0,0,99999828,DR8Pgn1WMN9yuQJ0
1,0,9,45.1,40.7,32.4,21.7,0,1,0,0,0,4,3,60,0,6920.783269,0,0,0,2,34,0,0,0,90063345,V7qb1ZTLtXuUcmsr
1,0,5,58.7,107.9,17.99,25.2,0,1,0,0,0,4,1,15,0,0,0,42.13333333,0,1,25,0,0,0,90063345,MIsjv98DYWtQCXZa
4,0,114,207.6,329.5,265.1,205,4021.913831,1,1,24,0,4,4,600,0,0,0,0,67.73333333,1,31,0,0,0,99999826,BdoYMRIOCeiyLK7S
1,0,8,43.4,46.1,35.7,57.9,0,1,0,0,0,4,1,50,0,5825.163357,12.75,12.75,0,1,20,0,0,0,90063345,4MXhSbrCZgoutTeD
4,0,10,35.96,36,36,36,0.540078163,0,3,12,0,2,1,0.04,500,0.540078,0.616666667,0,0.616666667,2,35,0,0,0,89950168,8lRneBXVwOHMfiIh
4,0,36,81.23,81,86.5,81,0.0296278,0,0,0,0,2,1,0.07,400,0,0,0,17.33333333,1,42,0,0,0,99999830,DuLMnNWjGXRdEhOp
4,0,9,76,33,50,50,1.14385891,0,0,0,0,3,2,61,800,1.143859,8.3,0,8.3,1,51,0,0,0,89950166,E3qlK8BCrI2X1VfJ
1,0,7,47.9,46.5,42.3,31.49,0,1,0,0,0,4,2,120,0,2237.656195,32.51666667,33.28333333,0,2,34,0,0,0,90063345,L5Ct6hzFelcZOajD
1,0,7,74.4,50.5,46.8,33.3,0,1,0,0,0,4,3,90,0,40703.68293,3.85,58.31666667,0,2,30,0,0,0,90063345,KxaCznPrVgystO3m
4,0,32,165.95,259.05,225.99,245.76,2819.493939,0,9,12,0,4,1,0.05,0,0,0,0,742.5166667,2,31,0,0,0,99999827,DN0EuAfe3igH5sVd
4,0,78,194.9,232.6,171.9,250.75,2222.887445,0,1,36,0,4,1,0.05,2957.750296,398.184308,7.833333333,143.7166667,422.65,1,31,0,0,0,99999827,zIbsXnPjhgeTwy5D
4,0,84,126.55,126.2,126.05,130.65,3380.490426,0,3,12,1,4,3,326.2,2048,3403.676943,186.4666667,15.65,170.8166667,1,32,0,0,0,89950166,GQ2Kw5cV9yYADvds
4,0,50,196,316.2,376,316,2199.491297,1,0,0,0,4,4,600,0,2089.169878,7.783333333,0,64.6,2,31,0,0,0,99999830,TywQvJUNenhX2MuW
4,0,133,106,106,106,106.1,1418.646703,0,3,12,0,4,2,200,450.3229733,1425.168053,38.95,0,45.63333333,1,39,0,0,0,89950167,fAn1T2KzMcBZYjL5
4,1,62,136,136,136,136.1,623.5375996,0,1,24,0,4,1,100,1024,623.727785,100.1,0,100.1,1,45,0,0,0,99999828,rZQGlvqUAOMVBTES
4,0,48,99.5,86,86.1,206,3299.003094,0,9,12,0,4,1,50,800,3299.045812,14.58333333,86.56666667,178.15,1,42,0,0,0,89950166,yQB1uqRNKLY4OEag
4,0,134,109.4,114.25,106.1,106.15,0,0,1,24,0,4,2,100.05,0,586.576358,99.45,12.11666667,137.75,1,44,0,0,0,89950167,8paQVdBrnPRLw3oK
1,0,11,36.8,40.4,36.6,45,0,1,0,0,0,4,1,30,0,2037.268323,0,0,0,1,42,0,0,0,90063345,IcASt4EPGTWRZel8
1,0,11,45.4,50.3,47,47.2,0,1,0,0,0,4,2,60,0,18825.06319,0,0,0,2,18,0,0,0,90063345,D01EeiK9bHRVdJxl
4,0,73,166,212.2,166,192.5,2552.069676,0,6,12,0,4,3,200,613.0482006,2184.659814,133.7,0,291.6333333,1,40,0,0,0,99999827,OexzlEYJtRvPncky
1,0,8,69.1,77.3,48.7,38.5,500,1,0,0,0,4,2,60,0,1099.315676,0,41.63333333,0,1,23,0,0,0,90063345,ztUXThpkVKcvOBdR
1,0,9,67,80,39.2,47.4,0,1,0,0,0,4,1,50,0,9568.611685,75.93333333,112.9333333,0,1,23,0,0,0,90063345,yDwzt2J9pfnW8TNq
4,0,66,122.05,210.66,107.29,141.75,811.7368708,0,9,12,0,4,1,100,0,811.86492,205.1,180,277.9166667,1,33,1,1,0,89950166,a6xGNPp8JVULKtjI
1,0,8,72.9,124.6,80.3,143.4,0,1,0,0,0,4,1,50,0,316.316721,0,198.6166667,1.65,1,31,0,0,0,90063345,hJjorkKLzA3tTqb6
4,0,79,144.98,98.5,265,89.5,683.4401417,1,0,0,0,4,1,0.02,0,552.881561,2.366666667,0,12.5,2,36,0,0,0,99999830,Nd1DoThOXcyfZn9q
4,0,175,409.35,325.95,326.1,370.8,3099.369241,0,1,24,0,4,1,300,4096,2009.536329,567.9,476.5333333,809.6166667,1,38,0,0,0,99999825,szR4oG3LN0upHEVX
1,0,12,60,80.6,70.3,77,0,1,0,0,0,4,1,50,0,1857.662219,0,0,0,1,28,0,0,0,90155946,brEXCVoYqiluIg0L
1,0,12,84.8,73,130,73.6,0,1,0,0,0,4,2,100,0,75701.77543,1.15,0,3.283333333,1,30,0,0,0,90063345,8OskrbyCV7AEKp3I
4,0,16,102,142,92,92,1639.348117,0,3,12,0,4,1,100,0,1340.169975,39.35,0,63.96666667,1,47,0,0,0,89950166,NhcUBwKfSp9O6znE
4,0,37,96,106,196.1,131.25,855.1556959,0,9,12,0,4,3,110,0,0,0,0,158.5666667,2,41,0,0,0,89950166,dZMW16qaJPfSI53V
4,0,101,205.14,225.46,205.5,229.31,2739.070588,0,1,24,0,4,1,0.06,5120,2397.089994,76.63333333,0,262.75,1,31,2,1,0,99999828,sW8QRfaTrAXZdojp
1,0,15,50.8,55,38.3,51.6,0,1,0,0,0,4,4,70,0,15076.70972,1.2,24.78333333,0,1,20,0,0,0,90063345,HT8Sj3qlwMZgkRsJ
1,0,10,51,56.7,52.7,60.3,0,1,0,0,0,4,1,50,0,37369.50564,0.516666667,0,32.2,1,25,0,0,0,90063345,gx7cSDsvINXq1bl4
1,0,11,36.8,66.1,36,37.7,3093.047362,0,0,0,0,4,1,30,0,1483.326315,14.93333333,0,68.1,1,24,1,1,1500,90109916,MoIR9B8q2UWT1jF4
1,0,6,53.5,51.4,44.9,19.24,0,1,0,0,0,4,1,50,0,21138.68332,0,2.35,0,1,28,0,0,0,90063345,pdmYTRZcJ5tyUWPH
4,0,189,106,117.05,118.7,159.1,292.3461494,0,1,24,0,4,2,89,1024,292.358328,147.9,0,151.0333333,1,48,0,0,0,89950167,RGs6Znfm9I0gM4J2
1,0,6,66.1,136.5,64.7,66.7,0,1,0,0,0,4,2,100,0,0,0,99.36666667,2.6,1,27,0,0,0,90063345,BfPbrOJ5uZ7Ac1Fj
4,0,53,70.98,88.17,81.45,82.19,1232.923841,0,3,12,0,4,1,0.02,0,897.315042,41.83333333,0,68.08333333,1,38,0,0,0,89950166,lyFMfogRu1G7UkTc
1,0,17,40.7,37.8,25.7,41.6,0,1,0,0,0,4,1,30,0,11264.56773,0,0,0,1,35,0,0,0,90063345,wyqAplkG1OJjts2z
1,0,14,113.9,89.1,79.5,126.2,0,1,0,0,0,4,2,80,0,16220.80792,140.2333333,89.21666667,143.85,1,54,0,0,0,90155946,QbUK6HTjmAIfGw9S
4,0,223,76,75.96,76.1,76,1200.609901,0,1,24,0,4,2,100,800,1200.642464,44.46666667,0,52.16666667,2,53,0,0,0,89950166,ySd7KctqwsCG9EuW
1,0,9,92.2,143.1,72.3,116.2,500,1,0,0,0,4,2,100,0,43810.92754,11.98333333,16.93333333,0,1,23,0,0,0,90063345,8tsKXT2i305uhl46
1,0,16,26.6,27.3,20.5,45.4,1024,0,0,0,0,4,2,60,0,4503.069262,3.183333333,3.183333333,0,2,31,0,0,0,90063345,rSfgEk5QZFuyz2OB
1,0,17,42.8,44.3,39.8,40.9,0,1,0,0,0,4,2,30,0,0,0,7.483333333,7.166666667,2,39,0,0,0,90063345,bx1cXtyaDwEAmJM0
4,0,34,287.89,197.45,451.67,385.24,1847.209485,0,0,0,0,4,3,400.07,3072,1846.248211,114.2,3.516666667,118.75,0,28,0,0,0,99999826,IP68TCFVgY9eWQqO
1,0,13,36.2,36.5,37.1,36.4,3213.536268,0,0,0,0,4,1,50,1526.05834,3125.496514,31.85,0,44.6,1,30,0,0,0,90109916,0yY6sQaDNET273nz
1,0,7,92.6,92.6,110.3,121.4,0,1,0,0,0,4,1,50,0,5016.035102,107.7666667,0.266666667,162.7666667,1,26,0,0,0,90155946,wODgNEYzWoB6Reh4
1,0,10,41.7,114.7,61.9,69.1,0,1,0,0,0,4,1,100,0,7695.33608,6.133333333,13.45,0,1,24,0,0,0,90063345,w2qaRFuPxisglySA
4,0,59,154.1,160.65,186,145.8,5577.352824,0,1,36,1,4,4,180.05,51.53751373,48719.3101,238.6333333,66.21666667,178.8833333,1,29,0,0,0,99999830,Ncy5Ipq96VkhamgP
1,0,16,74.2,91.7,86.3,123.4,0,1,0,0,0,4,1,100,0,31197.47121,19.58333333,19.58333333,0,1,29,0,0,0,90063345,HS2Ev4AjmKWJBXQd
4,0,72,119.93,141.1,102.97,99,2937.520099,0,3,12,1,4,2,41.2,0,2194.836268,46.2,0,242.2666667,1,32,1,1,0,99999828,aGNsLm61jHzvEXQK
4,0,153,35.95,37.3,38.25,35.94,135.2822056,0,3,12,0,4,1,0.05,500,135.282206,23.61666667,0,45.41666667,2,47,0,0,0,89950168,gp2Uu3GirlchoCnL
1,0,12,28.6,39.1,34.3,36.8,0,1,0,0,0,4,1,50,0,5837.561429,5.433333333,15.3,0,2,32,0,0,0,90063345,guQWK4TwX1GYZqfC
4,1,13,136.1,136,136.7,161.3,3160.013336,0,12,23,0,4,2,200,1753.087399,2596.683919,60.38333333,0,241.85,2,27,1,1,0,99999827,KIg9AX5ujEzynpFq
4,0,9,76,33,50,50,816.6231012,0,0,0,0,4,3,499,800,0,0,0,93.8,1,61,0,0,0,89950166,MgGnf13Smc4HL8Id
1,0,6,73.1,63.1,73.1,93,3189.265342,0,0,0,0,4,1,50,2048,16281.31926,0,0,2.7,1,24,0,0,0,90109916,OB5bSdUW3yqQLczY
